"drefus","fidel","keystne","Putnminc","scudinc","windsor","valmrkt","tbill"
-0.015719,0.011368,0.012945,0,-0.002744,-0.017782001,0.011915,0.0037
-0.061216999,-0.052501,-0.084665,-0.006977,-0.010457,-0.053247999,-0.027612001,0.0044
-0.043230001,-0.037813999,-0.123908997,-0.014052,-0.027253,-0.047244001,-0.042360999,0.0041
0.00682,-0.00856,-0.043825001,0.003563,-0.006433,-0.012987,-0.005978,0.0046
-0.064351998,-0.078884996,-0.143749997,-0.022782,-0.028252,-0.052632,-0.047975,0.0052
-0.041855998,-0.033659998,-0.068126999,-0.003681,-0.021805,-0.052699,-0.021749999,0.0051
-0.008547,-0.012346,-0.036554001,0.001232,0.000624,-0.033921,-0.008107,0.0051
0.046935,0.096874997,0.181572005,-0.002494,0.035558,0.058989,0.054579999,0.0064
-0.030359,-0.018722,-0.006881,-0.00875,-0.028313,-0.022546001,-0.029506,0.007
0.072105996,0.034426,0.096997999,0.044135999,0.045000002,0.097693004,0.051966,0.0068
0.00177,0,-0.016842,-0.006039,-0.002392,-0.019777,0.00025,0.0065
-0.103018999,-0.143946007,-0.216273993,-0.018541001,-0.105516002,-0.144547001,-0.118418001,0.0056
0.046535,0.007963,0.019126,0.011965,0.017627001,0.019969,0.012595,0.0064
-0.018921001,-0.020283001,-0.016085999,0.001267,-0.009327,0.067771003,0.001686,0.0063
0.022329999,0.012518,0.002725,0.006329,0,0.021157,0.003311,0.0058
-0.049383,-0.036614001,-0.073370002,-0.038993999,-0.031207999,-0.020718001,-0.023112001,0.0056
-0.042957,-0.032083001,-0.058651,-0.033376999,-0.041317001,-0.036671001,-0.044268001,0.0075
-0.049369998,-0.022438001,-0.068535998,-0.01105,-0.043827999,-0.060029,-0.038500998,0.0075
-0.032044001,-0.032342002,-0.060201,-0.036313001,-0.01466,-0.041400999,-0.019765999,0.006
-0.042236999,-0.101347998,-0.117438003,-0.016666999,-0.064213,-0.023256,-0.070114002,0.007
-0.063625,-0.070785999,-0.080645002,-0.021083999,-0.076986998,-0.076531,-0.086179003,0.006
-0.071795002,-0.154293001,-0.153509006,0.010769,-0.059633002,-0.090239003,-0.110126004,0.0081
0.171270996,0.209923998,0.196890995,0.058600001,0.121950999,0.149798006,0.164223999,0.0051
-0.020190001,-0.036593001,-0.025974,0.008837,-0.026957,-0.016333999,-0.042008001,0.0054
-0.001212,-0.047805998,-0.071111001,-0.00219,0.00091,-0.031365,-0.024893999,0.007
0.089805998,0.096615002,0.181817994,0.056800999,0.111818001,0.186666995,0.138878003,0.0058
0.037372999,0.079099998,0.044534002,0.015559,0.021259001,0.048154,0.060061999,0.0043
0.028384,0.04112,0.081395,-0.022283999,0.005663,0.058192998,0.029541001,0.0041
0.050955001,0.088724002,0.053762998,-0.007835,0.028961999,0.060780998,0.047033001,0.0044
0.051828999,0.043113001,0.095238,0.032258,0.046912,0.025034999,0.054402001,0.0044
0.052173998,0.047378998,0.034161001,0.03125,0.04902,0.075984001,0.051856,0.0041
-0.043159001,-0.080366001,-0.069068998,-0.004821,-0.054637,-0.026481999,-0.062714003,0.0048
-0.017375,-0.012036,-0.06129,-0.011299,-0.012928,-0.033679001,-0.021198999,0.0048
-0.026523,-0.030191001,-0.048110001,-0.008571,-0.031907,-0.017426001,-0.036697,0.0053
0.036327001,0.031130999,0.032490999,0.051153,0.039388999,0.045019999,0.058286,0.0056
0.013712,0.014301,0.01049,-0.002805,0.017788,0.030749001,0.031684998,0.0041
0.01256,-0.003916,-0.010381,0.033052001,0,0.007782,-0.010969,0.0048
0.104007997,0.137968004,0.181817994,0.047222,0.104327999,0.155726999,0.126117006,0.0047
