auction_id,auction_description,round,bidder_frn,bidder_name,item_name,item_description,round_of_pwb,pwb_amount,net_pwb_amount
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA511-B,Missouri 8 - Callaway,27,6187000,6187000
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA512-B,Missouri 9 - Bates,39,3166000,3166000
73,700 MHz Band,261,14999585,MTN3B Consortium,WY-CMA528-B,Montana 6 - Deer Lodge,27,267000,226950
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA529-B,Montana 7 - Fergus,24,292000,292000
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA545-B,Nevada 3 - Storey,26,401000,401000
73,700 MHz Band,261,17176173,"Great American Broadband, Inc.",WY-CMA546-B,Nevada 4 - Mineral,93,190000,142500
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA560-B,New York 2 - Franklin,15,576000,432000
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA561-B,New York 3 - Chautauqua,39,4248000,4248000
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA562-B,New York 4 - Yates,51,251000,251000
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA502-B,Mississippi 10 - Smith,47,117000,117000
73,700 MHz Band,261,5411426,"Cellular South Licenses, Inc.",WY-CMA503-B,Mississippi 11 - Lamar,73,363000,363000
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA519-B,Missouri 16 - Laclede,22,1501000,1501000
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA520-B,Missouri 17 - Shannon,25,800000,800000
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA521-B,Missouri 18 - Perry,18,1009000,756750
73,700 MHz Band,261,17181199,"Broadband Wireless Unlimited, LLC",WY-CMA470-B,Massachusetts 1 - Franklin,224,140000,119000
73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA471-B,Massachusetts 2 - Barnstable,31,834000,625500
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA487-B,Minnesota 6 - Hubbard,14,1181000,1181000
73,700 MHz Band,261,2623601,Redwood Wireless Corp.,WY-CMA488-B,Minnesota 7 - Chippewa,22,1656000,1242000
