auction_id,auction_description,round,bidder_frn,bidder_name,item_name,item_description,round_of_pwb,pwb_amount,net_pwb_amount,EA,REA,CMA,Block
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA599-B,Oklahoma 4 - Nowata,26,3769000,3769000,0,0,599,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA600-B,Oklahoma 5 - Roger Mills,28,704000,528000,0,0,600,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA413-B,Iowa 2 - Union,42,1217000,912750,0,0,413,B
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA677-B,Utah 5 - Daggett,24,2133000,2133000,0,0,677,B
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA678-B,Utah 6 - Piute,26,331000,331000,0,0,678,B
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA132-E,Corpus Christi TX,80,352000,352000,132,0,0,E
73,700 MHz Band,261,15024631,"Cavalier Wireless, LLC",WY-BEA133-A,McAllen-Edinburg-Mission TX,26,1161000,870750,133,0,0,A
73,700 MHz Band,261,15014202,"Cox Wireless, Inc.",WY-CMA157-B,"Roanoke, VA",21,2339000,2339000,0,0,157,B
73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA158-B,"Lima, OH",110,659000,494250,0,0,158,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA208-B,"Fort Pierce, FL",81,2301000,2301000,0,0,208,B
73,700 MHz Band,261,10698868,Bluegrass Wireless LLC,WY-CMA209-B,Clarksville-Hopkinsville TN-KY,29,881000,881000,0,0,209,B
73,700 MHz Band,261,8209629,"N.E. Colorado Wireless Technologies, Inc",WY-CMA243-B,"Greeley, CO",26,1657000,1657000,0,0,243,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA244-B,"Kenosha, WI",49,2884000,2163000,0,0,244,B
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA295-B,"Midland, TX",26,405000,405000,0,0,295,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA296-B,"Iowa City, IA",21,1957000,1467750,0,0,296,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA312-B,Alabama 6 - Washington,18,466000,466000,0,0,312,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA313-B,Alabama 7 - Butler,41,1932000,1932000,0,0,313,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA395-B,Illinois 2 - Bureau,105,1596000,1197000,0,0,395,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA396-B,Illinois 3 - Mercer,18,1555000,1555000,0,0,396,B
73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA587-B,Ohio 3 - Ashtabula,214,213000,159750,0,0,587,B
73,700 MHz Band,261,17195561,"Miller, David",WY-CMA651-B,Tennessee 9 - Maury,188,43000,32250,0,0,651,B
73,700 MHz Band,261,17163254,"SAL Spectrum, LLC",WY-CMA652-B,Texas 1 - Dallam,92,75000,75000,0,0,652,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA685-B,Virginia 5 - Bath,23,143000,107250,0,0,685,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA686-B,Virginia 6 - Highland,71,287000,215250,0,0,686,B
73,700 MHz Band,261,5411426,"Cellular South Licenses, Inc.",WY-BEA044-A,Knoxville TN,27,13695000,13695000,44,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA043-E,Chattanooga TN-GA,160,652000,652000,43,0,0,E
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-BEA048-A,Charleston WV-KY-OH,88,1993000,1494750,48,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA047-E,Lexington KY-TN-VA-WV,21,2914000,2914000,47,0,0,E
73,700 MHz Band,261,2336105,"Rural Telephone Service Company, Inc.",WY-CMA429-B,Kansas 2 - Norton,57,107000,107000,0,0,429,B
73,700 MHz Band,261,2331262,"Blue Valley Tele-Communications, Inc.",WY-CMA430-B,Kansas 3 - Jewell,27,1058000,793500,0,0,430,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA446-B,Kentucky 4 - Spencer,18,3526000,3526000,0,0,446,B
73,700 MHz Band,261,10698868,Bluegrass Wireless LLC,WY-CMA447-B,Kentucky 5 - Barren,17,1109000,1109000,0,0,447,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA578-B,North Carolina 14 - Pitt,93,577000,432750,0,0,578,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA579-B,North Carolina 15 - Cabarrus,27,11916000,11916000,0,0,579,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA668-B,Texas 17 - Newton,45,1140000,1140000,0,0,668,B
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA669-B,Texas 18 - Edwards,21,940000,940000,0,0,669,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA702-B,West Virginia 2 - Wetzel,20,150000,112500,0,0,702,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA717-B,Wisconsin 10 - Door,24,2252000,1689000,0,0,717,B
73,700 MHz Band,261,1630201,Union Telephone Company,WY-CMA718-B,Wyoming 1 - Park,27,588000,588000,0,0,718,B
73,700 MHz Band,261,15030844,"Iowa Intelegra Consortium, LLC",WY-CMA635-B,South Dakota 2 - Corson,149,43000,43000,0,0,635,B
73,700 MHz Band,261,15013410,KTC AWS Limited Partnership,WY-CMA636-B,South Dakota 3 - McPherson,21,296000,222000,0,0,636,B
73,700 MHz Band,261,17189325,"VentureTel 700, Inc.",WY-CMA725-B,Puerto Rico 3 - Ciales,50,38000,28500,0,0,725,B
